"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_train",0,NA,NA,NA,NA
"asc_bus",-1.38487503115746,0.17693022709089,-7.82723819399178,0.172593622079143,-8.02390618190066
"asc_micro",-1.57797859121778,0.238996964084795,-6.60250475256214,0.243477344678053,-6.48100788721974
"b_tt",-0.0112963113578365,0.00265910417500817,-4.24816427427174,0.00288266980895531,-3.9186976332646
"b_cost",-0.000275052012967629,3.12702348760388e-05,-8.79596888408378,3.73633256721525e-05,-7.36155061198499
"b_lmt",-0.0140829409401009,0.00484544993513957,-2.90642584870609,0.00484128895119171,-2.90892385934418
"b_hw",-0.0056084917367124,0.0019875669651922,-2.821787559832,0.00180981350777109,-3.0989335158735
"b_var",-0.0111632075699985,0.00299504411232703,-3.72722642850331,0.00316582758149591,-3.52615778422264
"b_crowd",-0.16576942842707,0.0239426609242911,-6.92360088760596,0.0267276951795248,-6.20215949462267
"b_aircon",0.164998172802574,0.0590718941764558,2.79317558887991,0.0619371385993021,2.66396182539231
"b_vendors",-0.0704411453268865,0.0757878918594768,-0.929451177471672,0.0801144926695185,-0.879255962057505
"sigma_panel",1.90302782231948,0.0967414808487534,19.6712703343325,0.113195952782009,16.8118009129204
